county,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**,Male,Female,Unknown/Left Blank
,0,0,0,0,0,17,0,0,11,12,10,0,0,0,0,0,30,13,0
Adams,0,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,14,0,0
Boone,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0
Champaign,0,6,0,0,8,6,0,0,25,0,0,0,0,0,0,0,15,35,0
Christian,0,0,0,0,0,0,7,6,16,0,0,0,0,0,0,0,6,15,0
Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook,138,1779,2434,2804,3095,2396,1350,907,3069,5006,4204,607,372,1805,0,0,7647,8009,73
DeKalb,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,16,0
Douglas,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
DuPage,0,102,146,177,180,183,96,92,461,43,311,34,45,163,0,0,614,692,0
Fayette,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Grundy,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0
Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,12,0,0,0,0,0,7,8,10,6,0,0,0,0,0,11,15,0
Kane,0,38,34,51,67,41,14,21,134,21,60,0,0,126,0,0,204,194,0
Kankakee,0,15,26,29,35,23,8,27,78,22,72,0,0,6,0,0,94,95,0
Kendall,0,0,6,7,19,0,0,0,39,10,0,0,0,7,0,0,31,41,0
LaSalle,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Lake,25,189,165,252,306,178,75,80,513,116,337,56,0,355,0,0,752,739,6
Lee,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0
Livingston,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Macon,0,0,0,0,0,0,7,17,21,6,0,0,0,0,0,0,10,27,0
Madison,0,0,0,12,7,0,0,0,28,7,31,0,0,0,0,0,23,49,0
Marion,0,0,0,9,7,7,0,0,7,0,19,0,0,0,0,0,6,7,17
McHenry,0,0,19,22,35,31,14,7,150,0,19,0,0,18,0,0,122,125,0
McLean,0,0,0,0,0,9,0,0,0,9,28,0,0,0,0,0,16,36,0
Monroe,0,0,0,0,8,8,0,17,29,0,13,0,0,0,0,0,7,32,0
Morgan,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0
Ogle,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,9,0
Peoria,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Randolph,0,0,6,6,0,0,0,0,26,0,0,0,0,0,0,0,12,15,0
Rock Island,0,0,14,7,24,6,0,0,25,6,39,0,0,19,0,0,52,40,0
Sangamon,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0
St. Clair,0,0,0,7,10,12,0,0,41,50,46,0,0,0,0,0,58,82,0
Stephenson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tazewell,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0
Whiteside,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,8,0
Will,0,78,169,291,277,155,62,60,319,247,543,7,19,81,0,0,651,711,0
Williamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winnebago,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,13,33,0
