,county,confirmed_cases_4_14_2020,total_tested_4_14_2020,deaths_4_14_2020
0,Illinois,24593,116929,948
1,Chicago,10192,0,361
2,Adams,27,0,0
3,Alexander,0,0,0
4,Bond,4,0,0
5,Boone,16,0,1
6,Brown,0,0,0
7,Bureau,7,0,0
8,Calhoun,1,0,0
9,Carroll,5,0,1
10,Cass,0,0,0
11,Champaign,90,0,2
12,Christian,24,0,3
13,Clark,4,0,0
14,Clay,1,0,0
15,Clinton,39,0,0
16,Coles,9,0,0
17,Cook,7114,0,269
18,Crawford,4,0,0
19,Cumberland,2,0,0
20,DeKalb,37,0,1
21,De Witt,1,0,0
22,Douglas,11,0,0
23,DuPage,1386,0,66
24,Edgar,0,0,0
25,Edwards,0,0,0
26,Effingham,3,0,1
27,Fayette,12,0,1
28,Ford,4,0,1
29,Franklin,4,0,0
30,Fulton,1,0,0
31,Gallatin,2,0,0
32,Greene,1,0,0
33,Grundy,24,0,0
34,Hamilton,0,0,0
35,Hancock,3,0,0
36,Hardin,0,0,0
37,Henderson,0,0,0
38,Henry,25,0,0
39,Iroquois,11,0,0
40,Jackson,39,0,4
41,Jasper,3,0,1
42,Jefferson,9,0,0
43,Jersey,8,0,0
44,Jo Daviess,11,0,0
45,Johnson,2,0,0
46,Kane,463,0,24
47,Kankakee,226,0,10
48,Kendall,116,0,2
49,Knox,2,0,0
50,Lake,1711,0,62
51,LaSalle,24,0,1
52,Lawrence,2,0,0
53,Lee,15,0,0
54,Livingston,17,0,0
55,Logan,4,0,0
56,McDonough,2,0,0
57,McHenry,264,0,11
58,McLean,82,0,2
59,Macon,44,0,5
60,Macoupin,17,0,0
61,Madison,135,0,2
62,Marion,17,0,0
63,Marshall,2,0,0
64,Mason,3,0,0
65,Massac,3,0,0
66,Menard,2,0,0
67,Mercer,3,0,0
68,Monroe,49,0,4
69,Montgomery,9,0,1
70,Morgan,10,0,1
71,Moultrie,2,0,0
72,Ogle,28,0,1
73,Peoria,33,0,1
74,Perry,1,0,0
75,Piatt,6,0,0
76,Pike,1,0,0
77,Pope,0,0,0
78,Pulaski,5,0,0
79,Putnam,0,0,0
80,Randolph,46,0,0
81,Richland,1,0,0
82,Rock Island,138,0,4
83,St. Clair,225,0,10
84,Saline,3,0,0
85,Sangamon,50,0,3
86,Schuyler,1,0,0
87,Scott,0,0,0
88,Shelby,4,0,0
89,Stark,1,0,0
90,Stephenson,9,0,0
91,Tazewell,21,0,3
92,Unassigned,45,0,1
93,Union,3,0,0
94,Vermilion,8,0,0
95,Wabash,1,0,0
96,Warren,2,0,0
97,Washington,3,0,0
98,Wayne,0,0,0
99,White,0,0,0
100,Whiteside,29,0,3
101,Will,1433,0,81
102,Williamson,12,0,0
103,Winnebago,112,0,4
104,Woodford,11,0,0
